ID,name,location,date,source,x,y,notes,top,bottom,clay,silt,sand,particle_density,bulk_density,FC,PWP,FastDP,SlowDP,total_porosity,dispertion_ratio,electric_conductivity,hydraulic_conductivity,infiltration_velocity,pH,organic_matter,N,P,K,MWDV
2108,INIA-UDEC_506,Sector Rio Cajon cera Pte. Becerra,NA,CHLSOC,-72.56091111,-46.12423387,NA,85,127,8,25.6,66.4,NA,0.7,0.435,0.226,NA,NA,NA,NA,NA,NA,NA,4.82,3.51696,NA,NA,NA,NA
2108,INIA-UDEC_506,Sector Rio Cajon cera Pte. Becerra,NA,CHLSOC,-72.56091111,-46.12423387,NA,127,143,5.5,37.9,56.6,NA,0.58,0.43,0.223,NA,NA,NA,NA,NA,NA,NA,4.89,4.46516,NA,NA,NA,NA
2108,INIA-UDEC_506,Sector Rio Cajon cera Pte. Becerra,NA,CHLSOC,-72.56091111,-46.12423387,NA,143,168,5.4,32.9,61.7,NA,0.63,0.324,0.169,NA,NA,NA,NA,NA,NA,NA,5.01,2.68944,NA,NA,NA,NA
2109,INIA-UDEC_507,Villa Castillo hacia cruce Iba�ez,NA,CHLSOC,-72.0735922,-46.10764901,NA,0,11,3.2,34.7,62.1,NA,0.74,0.288,0.15,NA,NA,NA,NA,NA,NA,NA,5.11,6.68912,NA,NA,NA,NA
2109,INIA-UDEC_507,Villa Castillo hacia cruce Iba�ez,NA,CHLSOC,-72.0735922,-46.10764901,NA,11,28,6.5,32,61.4,NA,0.9,0.262,0.136,NA,NA,NA,NA,NA,NA,NA,5.4,2.51704,NA,NA,NA,NA
2109,INIA-UDEC_507,Villa Castillo hacia cruce Iba�ez,NA,CHLSOC,-72.0735922,-46.10764901,NA,28,68,6.7,30.5,62.8,NA,0.89,0.272,0.142,NA,NA,NA,NA,NA,NA,NA,5.48,1.17232,NA,NA,NA,NA
2109,INIA-UDEC_507,Villa Castillo hacia cruce Iba�ez,NA,CHLSOC,-72.0735922,-46.10764901,NA,68,80,7.3,42.1,50.6,NA,0.8,0.377,0.196,NA,NA,NA,NA,NA,NA,NA,5.48,1.2068,NA,NA,NA,NA
2109,INIA-UDEC_507,Villa Castillo hacia cruce Iba�ez,NA,CHLSOC,-72.0735922,-46.10764901,NA,80,90,5.5,36.8,57.7,NA,0.75,0.429,0.223,NA,NA,NA,NA,NA,NA,NA,5.57,1.3792,NA,NA,NA,NA
2110,INIA-UDEC_508,Bajada Ibalez sector laguna Sepulveda,NA,CHLSOC,-71.9530782,-46.23658086,NA,0,10,5.1,41.1,53.8,NA,0.83,0.168,0.08,NA,NA,NA,NA,NA,NA,NA,5.73,4.70652,NA,NA,NA,NA
2110,INIA-UDEC_508,Bajada Ibalez sector laguna Sepulveda,NA,CHLSOC,-71.9530782,-46.23658086,NA,10,50,4.1,20.7,75.2,NA,0.99,0.172,0.09,NA,NA,NA,NA,NA,NA,NA,5.81,3.08596,NA,NA,NA,NA
2110,INIA-UDEC_508,Bajada Ibalez sector laguna Sepulveda,NA,CHLSOC,-71.9530782,-46.23658086,NA,50,74,4.1,23.2,72.6,NA,0.9,0.667,0.347,NA,NA,NA,NA,NA,NA,NA,5.78,2.4136,NA,NA,NA,NA
2110,INIA-UDEC_508,Bajada Ibalez sector laguna Sepulveda,NA,CHLSOC,-71.9530782,-46.23658086,NA,74,97,6.3,26.8,66.8,NA,1.03,0.212,0.11,NA,NA,NA,NA,NA,NA,NA,5.66,1.96536,NA,NA,NA,NA
2111,INIA-UDEC_509,Chacras de Puerto Iba�ez,NA,CHLSOC,-71.94350943,-46.28714194,NA,0,11,15.3,31.1,53.6,NA,1.01,0.241,0.126,NA,NA,NA,NA,NA,NA,NA,5.5,5.84436,NA,NA,NA,NA
2111,INIA-UDEC_509,Chacras de Puerto Iba�ez,NA,CHLSOC,-71.94350943,-46.28714194,NA,11,39,12.3,28,59.7,NA,1.2,0.163,0.085,NA,NA,NA,NA,NA,NA,NA,5.04,1.99984,NA,NA,NA,NA
2111,INIA-UDEC_509,Chacras de Puerto Iba�ez,NA,CHLSOC,-71.94350943,-46.28714194,NA,39,73,9.3,25.2,65.6,NA,1.24,0.138,0.072,NA,NA,NA,NA,NA,NA,NA,5.12,1.34472,NA,NA,NA,NA
2111,INIA-UDEC_509,Chacras de Puerto Iba�ez,NA,CHLSOC,-71.94350943,-46.28714194,NA,73,112,7.1,23.8,69,NA,1.18,0.123,0.064,NA,NA,NA,NA,NA,NA,NA,5.23,0.55168,NA,NA,NA,NA
2111,INIA-UDEC_509,Chacras de Puerto Iba�ez,NA,CHLSOC,-71.94350943,-46.28714194,NA,112,122,8.4,22.3,69,NA,1.17,0.113,0.059,NA,NA,NA,NA,NA,NA,NA,5.23,0.32756,NA,NA,NA,NA
2112,INIA-UDEC_510,Cerca de Lago Central o Tamando,NA,CHLSOC,-72.09926057,-46.2222507,NA,0,5,1,22.7,76.3,NA,0.87,0.159,0.083,NA,NA,NA,NA,NA,NA,NA,4.93,3.65488,NA,NA,NA,NA
2112,INIA-UDEC_510,Cerca de Lago Central o Tamando,NA,CHLSOC,-72.09926057,-46.2222507,NA,5,21,3.1,31.5,65.4,NA,0.79,0.282,0.147,NA,NA,NA,NA,NA,NA,NA,5.06,4.18932,NA,NA,NA,NA
2112,INIA-UDEC_510,Cerca de Lago Central o Tamando,NA,CHLSOC,-72.09926057,-46.2222507,NA,21,51,5.5,26.9,67.6,NA,0.74,0.279,0.145,NA,NA,NA,NA,NA,NA,NA,5.23,1.65504,NA,NA,NA,NA
2112,INIA-UDEC_510,Cerca de Lago Central o Tamando,NA,CHLSOC,-72.09926057,-46.2222507,NA,51,55,4.1,14.8,81.1,NA,0.62,0.197,0.102,NA,NA,NA,NA,NA,NA,NA,5.28,0.3448,NA,NA,NA,NA
