ID,name,location,date,source,x,y,notes,top,bottom,clay,silt,sand,particle_density,bulk_density,FC,PWP,FastDP,SlowDP,total_porosity,dispertion_ratio,electric_conductivity,hydraulic_conductivity,infiltration_velocity,pH,organic_matter,N,P,K,MWDV
12931,UChile-2_Pirque_Fuera_A._caven,NA,NA,CHLSOC,-70.5196706,-33.73252091,NA,10,20,-999,-999,-999,-999,1.43,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.242883722,-999,-999,-999,-999
12932,UChile-2_Santiago_AgrÃƒÂ­cola,NA,NA,CHLSOC,-70.63735294,-33.57155098,NA,0,10,-999,-999,-999,-999,1.59,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3.708604652,-999,-999,-999,-999
12933,UChile-Casanova_ANGOSTURADEGALVEZ_P1,NA,NA,CHLSOC,-71.56614166,-31.44747778,NA,0,18,-999,-999,-999,-999,1.53,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.8898488,-999,-999,-999,-999
12933,UChile-Casanova_ANGOSTURADEGALVEZ_P1,NA,NA,CHLSOC,-71.56614166,-31.44747778,NA,18,50,-999,-999,-999,-999,1.6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.149908,-999,-999,-999,-999
12934,UChile-Casanova_ANGOSTURADEGALVEZ_P2,NA,NA,CHLSOC,-71.56568333,-31.447275,NA,0,20,-999,-999,-999,-999,1.52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.699864,-999,-999,-999,-999
12934,UChile-Casanova_ANGOSTURADEGALVEZ_P2,NA,NA,CHLSOC,-71.56568333,-31.447275,NA,20,40,-999,-999,-999,-999,1.55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.9899208,-999,-999,-999,-999
12935,UChile-Casanova_ANGOSTURADEGALVEZ_P3,NA,NA,CHLSOC,-71.5653,-31.44713889,NA,0,50,-999,-999,-999,-999,1.47,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.5199584,-999,-999,-999,-999
12936,UChile-Casanova_ANGOSTURADEGALVEZ_P4,NA,NA,CHLSOC,-71.56498333,-31.44703056,NA,0,70,-999,-999,-999,-999,1.76,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.199984,-999,-999,-999,-999
12937,UChile-Casanova_ANGOSTURADEGALVEZ_P6,NA,NA,CHLSOC,-71.56501389,-31.44686111,NA,0,40,-999,-999,-999,-999,1.48,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.49988,-999,-999,-999,-999
12938,UChile-Casanova_CASANOVA_PUNTANEGRA1,NA,NA,CHLSOC,-68.91933333,-24.57622222,NA,0,20,-999,-999,-999,-999,0.78,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.199424,-999,-999,-999,-999
12938,UChile-Casanova_CASANOVA_PUNTANEGRA1,NA,NA,CHLSOC,-68.91933333,-24.57622222,NA,20,46,-999,-999,-999,-999,0.74,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3.199744,-999,-999,-999,-999
12938,UChile-Casanova_CASANOVA_PUNTANEGRA1,NA,NA,CHLSOC,-68.91933333,-24.57622222,NA,46,72,-999,-999,-999,-999,1.62,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.3399728,-999,-999,-999,-999
12938,UChile-Casanova_CASANOVA_PUNTANEGRA1,NA,NA,CHLSOC,-68.91933333,-24.57622222,NA,72,100,-999,-999,-999,-999,1.59,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.24998,-999,-999,-999,-999
12939,UChile-Casanova_CASANOVA_PUNTANEGRA2,NA,NA,CHLSOC,-68.92027778,-24.57869444,NA,0,26,-999,-999,-999,-999,0.61,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.199824,-999,-999,-999,-999
12939,UChile-Casanova_CASANOVA_PUNTANEGRA2,NA,NA,CHLSOC,-68.92027778,-24.57869444,NA,26,30,-999,-999,-999,-999,0.42,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3.599712,-999,-999,-999,-999
12939,UChile-Casanova_CASANOVA_PUNTANEGRA2,NA,NA,CHLSOC,-68.92027778,-24.57869444,NA,30,60,-999,-999,-999,-999,0.37,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,43.796496,-999,-999,-999,-999
12939,UChile-Casanova_CASANOVA_PUNTANEGRA2,NA,NA,CHLSOC,-68.92027778,-24.57869444,NA,60,68,-999,-999,-999,-999,1.14,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.6099512,-999,-999,-999,-999
12939,UChile-Casanova_CASANOVA_PUNTANEGRA2,NA,NA,CHLSOC,-68.92027778,-24.57869444,NA,68,100,-999,-999,-999,-999,1.49,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1299896,-999,-999,-999,-999
12940,UChile-Casanova_CASANOVA_PUNTANEGRA3,NA,NA,CHLSOC,-68.93733333,-24.65186111,NA,0,10,-999,-999,-999,-999,1.53,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6.699464,-999,-999,-999,-999
12940,UChile-Casanova_CASANOVA_PUNTANEGRA3,NA,NA,CHLSOC,-68.93733333,-24.65186111,NA,10,19,-999,-999,-999,-999,0.38,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,11.49908,-999,-999,-999,-999
12940,UChile-Casanova_CASANOVA_PUNTANEGRA3,NA,NA,CHLSOC,-68.93733333,-24.65186111,NA,19,40,-999,-999,-999,-999,0.36,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,16.298696,-999,-999,-999,-999
12940,UChile-Casanova_CASANOVA_PUNTANEGRA3,NA,NA,CHLSOC,-68.93733333,-24.65186111,NA,40,55,-999,-999,-999,-999,0.4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9.9992,-999,-999,-999,-999
12940,UChile-Casanova_CASANOVA_PUNTANEGRA3,NA,NA,CHLSOC,-68.93733333,-24.65186111,NA,55,80,-999,-999,-999,-999,0.57,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.99984,-999,-999,-999,-999
12940,UChile-Casanova_CASANOVA_PUNTANEGRA3,NA,NA,CHLSOC,-68.93733333,-24.65186111,NA,80,101,-999,-999,-999,-999,0.82,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.099912,-999,-999,-999,-999
12941,UChile-Casanova_CASANOVA_PUNTANEGRA4,NA,NA,CHLSOC,-68.93611111,-24.65116667,NA,0,45,-999,-999,-999,-999,0.83,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.299896,-999,-999,-999,-999
12941,UChile-Casanova_CASANOVA_PUNTANEGRA4,NA,NA,CHLSOC,-68.93611111,-24.65116667,NA,45,58,-999,-999,-999,-999,0.86,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.199904,-999,-999,-999,-999
12941,UChile-Casanova_CASANOVA_PUNTANEGRA4,NA,NA,CHLSOC,-68.93611111,-24.65116667,NA,58,67,-999,-999,-999,-999,0.81,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.599872,-999,-999,-999,-999
12941,UChile-Casanova_CASANOVA_PUNTANEGRA4,NA,NA,CHLSOC,-68.93611111,-24.65116667,NA,67,74,-999,-999,-999,-999,0.49,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.799376,-999,-999,-999,-999
12942,UChile-Casanova_CASANOVA_PUNTANEGRA5,NA,NA,CHLSOC,-68.93530556,-24.65016667,NA,0,82,-999,-999,-999,-999,1.03,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.8599312,-999,-999,-999,-999
12942,UChile-Casanova_CASANOVA_PUNTANEGRA5,NA,NA,CHLSOC,-68.93530556,-24.65016667,NA,82,113,-999,-999,-999,-999,1.08,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.5399568,-999,-999,-999,-999
12943,UChile-Casanova_CHILECHICO_BHJ_2,NA,NA,CHLSOC,-71.84862223,-46.49351389,NA,26,34,-999,-999,-999,-999,1.1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.3298136,-999,-999,-999,-999
12944,UChile-Casanova_CHILECHICO_BHJ_3,NA,NA,CHLSOC,-71.85888611,-46.52129722,NA,7,27,-999,-999,-999,-999,1.4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.4298056,-999,-999,-999,-999
12944,UChile-Casanova_CHILECHICO_BHJ_3,NA,NA,CHLSOC,-71.85888611,-46.52129722,NA,27,45,-999,-999,-999,-999,1.3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.8298536,-999,-999,-999,-999
12945,UChile-Casanova_CHILECHICO_LGC_1,NA,NA,CHLSOC,-71.84642778,-46.5193,NA,16,25,-999,-999,-999,-999,1.2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.7299416,-999,-999,-999,-999
12945,UChile-Casanova_CHILECHICO_LGC_1,NA,NA,CHLSOC,-71.84642778,-46.5193,NA,25,42,-999,-999,-999,-999,1.1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.949924,-999,-999,-999,-999
12946,UChile-Galleguillos_1_27,NA,NA,CHLSOC,-71.30107284,-30.29815897,NA,0,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3.072237091,-999,-999,-999,-999
12947,UChile-Galleguillos_10_23,NA,NA,CHLSOC,-71.29151603,-30.28855783,NA,0,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.799539993,-999,-999,-999,-999
12948,UChile-Galleguillos_11_21,NA,NA,CHLSOC,-71.28396856,-30.28464968,NA,0,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.959919532,-999,-999,-999,-999
12949,UChile-Galleguillos_12_32,NA,NA,CHLSOC,-71.27945126,-30.25145934,NA,0,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.04982173,-999,-999,-999,-999
12950,UChile-Galleguillos_13_9,NA,NA,CHLSOC,-71.25244529,-30.2567686,NA,0,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.592243514,-999,-999,-999,-999
12951,UChile-Galleguillos_14_37,NA,NA,CHLSOC,-71.26522406,-30.28334861,NA,0,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.196828324,-999,-999,-999,-999
